video_id,grupo
jz_As_nzSUA,3
U4VlAKE_fMg,3
J7IysernjcQ,3
Xeugx_L24V0,1
ZPmkNvM5yMQ,8
cUNI6-3aYzg,2
AMmh1siH4mY,6
Xnp8g_DrKmM,0
cnZs8nAkdrg,4
nK_h08KTYlo,2
Qs35xCxWwVI,3
N7UYvWskkcc,7
wW6OACofjRM,0
qUWs5sZE4xc,0
6QOkLu4kOOI,9
nTmWFWWbzkQ,7
XSHXOEoB8jk,7
GgmlGTFrD3g,0
MGALB4b3O5I,0
N4AfqCBYHGo,3
H3Mc4126A2s,0
Y_befLlahys,8
aw9lP3WAl2o,7
z2oF6Itzzyo,6
5tNRcuzc4YU,6
YZldtLXNfu8,6
PMs7KDyRo6Y,6
2d0waLuCjzI,6
IEPemH_lwLM,1
CANYM34cIuQ,0
gj9R3nmB67Q,8
pbb0jzXt_xA,0
uAPy2sl-h7o,0
wbVPvVIepXw,8
2fcxZTyaREk,8
arJVNwjhmRY,0
y-_Ly5Tqggc,1
eSrObbUHbTQ,0
qVHPy7Np9rE,5
jizAto4-ofs,8
TUy6SC2MRig,7
V3NMxTkR6n4,3
posTc56basM,1
UlY2deWLyw0,2
xucKeCMFeWM,2
hO_tjm9i32g,1
0YpxVIvQ-lU,0
DA6AbROn9Fo,1
eMzxhNRQV4A,2
-UmOPQRpRIE,7
